CMDLINE 71021
MEM 663.664062 1669316668.9917
MEM 663.664062 1669316669.0963
MEM 663.664062 1669316669.2011
MEM 663.664062 1669316669.3034
MEM 663.664062 1669316669.4060
MEM 663.664062 1669316669.5116
MEM 663.664062 1669316669.6130
MEM 663.664062 1669316669.7178
MEM 663.664062 1669316669.8217
MEM 663.664062 1669316669.9265
MEM 663.664062 1669316670.0344
MEM 663.664062 1669316670.1384
MEM 663.664062 1669316670.2426
MEM 663.664062 1669316670.3475
MEM 663.664062 1669316670.4534
MEM 663.664062 1669316670.5556
MEM 663.664062 1669316670.6581
MEM 663.664062 1669316670.7640
MEM 663.664062 1669316670.8691
MEM 663.664062 1669316670.9730
MEM 663.664062 1669316671.0759
MEM 663.664062 1669316671.1821
MEM 663.664062 1669316671.2839
MEM 663.664062 1669316671.3864
MEM 663.664062 1669316671.4913
MEM 663.664062 1669316671.5943
MEM 663.664062 1669316671.7002
MEM 663.664062 1669316671.8017
MEM 663.664062 1669316671.9051
MEM 663.664062 1669316672.0077
MEM 663.664062 1669316672.1092
MEM 663.664062 1669316672.2112
MEM 663.664062 1669316672.3135
MEM 663.664062 1669316672.4164
MEM 663.664062 1669316672.5233
MEM 663.664062 1669316672.6286
MEM 663.679688 1669316672.7319
MEM 663.679688 1669316672.8375
MEM 663.679688 1669316672.9431
MEM 663.679688 1669316673.0488
MEM 663.679688 1669316673.1546
MEM 663.679688 1669316673.2553
MEM 663.679688 1669316673.3608
MEM 663.679688 1669316673.4663
MEM 663.679688 1669316673.5719
MEM 663.679688 1669316673.6724
MEM 663.679688 1669316673.7769
MEM 663.679688 1669316673.8812
MEM 663.679688 1669316673.9829
MEM 663.679688 1669316674.0853
MEM 663.679688 1669316674.1872
MEM 663.679688 1669316674.2921
MEM 663.679688 1669316674.3967
MEM 663.679688 1669316674.5016
MEM 663.679688 1669316674.6022
MEM 663.679688 1669316674.7076
MEM 663.679688 1669316674.8131
MEM 663.679688 1669316674.9189
MEM 663.679688 1669316675.0250
MEM 663.679688 1669316675.1291
MEM 663.679688 1669316675.2348
MEM 663.679688 1669316675.3405
MEM 663.679688 1669316675.4461
MEM 663.679688 1669316675.5511
MEM 663.679688 1669316675.6517
MEM 663.679688 1669316675.7543
MEM 663.679688 1669316675.8560
MEM 663.679688 1669316675.9611
MEM 663.679688 1669316676.0668
MEM 663.679688 1669316676.1723
MEM 663.679688 1669316676.2741
MEM 663.679688 1669316676.3785
MEM 663.679688 1669316676.4826
MEM 663.679688 1669316676.5839
MEM 663.679688 1669316676.6882
MEM 663.679688 1669316676.7927
MEM 663.679688 1669316676.8976
MEM 663.679688 1669316677.0029
MEM 663.679688 1669316677.1055
MEM 663.679688 1669316677.2098
MEM 663.679688 1669316677.3155
MEM 663.679688 1669316677.4163
MEM 663.679688 1669316677.5217
MEM 663.679688 1669316677.6266
MEM 663.679688 1669316677.7300
MEM 663.679688 1669316677.8354
MEM 663.679688 1669316677.9398
MEM 663.679688 1669316678.0415
MEM 663.679688 1669316678.1463
MEM 663.679688 1669316678.2488
MEM 663.679688 1669316678.3514
MEM 663.679688 1669316678.4570
MEM 663.679688 1669316678.5617
MEM 663.718750 1669316678.6644
MEM 659.988281 1669316678.7647
MEM 658.535156 1669316678.8700
MEM 658.535156 1669316678.9736
MEM 658.535156 1669316679.0793
MEM 658.535156 1669316679.1851
MEM 658.542969 1669316679.2884
MEM 658.542969 1669316679.3940
MEM 658.542969 1669316679.4965
MEM 658.542969 1669316679.6048
MEM 658.542969 1669316679.7059
MEM 658.542969 1669316679.8109
MEM 658.542969 1669316679.9165
MEM 658.542969 1669316680.0222
MEM 658.542969 1669316680.1281
MEM 658.542969 1669316680.2342
MEM 658.542969 1669316680.3363
MEM 658.542969 1669316680.4381
MEM 658.542969 1669316680.5424
MEM 658.542969 1669316680.6455
MEM 658.542969 1669316680.7509
MEM 658.542969 1669316680.8563
MEM 658.542969 1669316680.9582
MEM 658.542969 1669316681.0634
MEM 658.542969 1669316681.1679
MEM 658.542969 1669316681.2719
MEM 658.542969 1669316681.3742
MEM 658.542969 1669316681.4760
MEM 658.542969 1669316681.5816
MEM 658.542969 1669316681.6831
MEM 658.542969 1669316681.7846
MEM 658.542969 1669316681.8872
MEM 658.542969 1669316681.9928
MEM 658.542969 1669316682.0986
MEM 658.542969 1669316682.2006
MEM 658.542969 1669316682.3053
MEM 658.542969 1669316682.4111
MEM 658.542969 1669316682.5121
MEM 658.542969 1669316682.6176
MEM 658.542969 1669316682.7214
MEM 658.542969 1669316682.8261
MEM 658.542969 1669316682.9314
MEM 658.542969 1669316683.0361
MEM 658.542969 1669316683.1409
MEM 658.542969 1669316683.2457
MEM 658.542969 1669316683.3482
MEM 658.542969 1669316683.4538
MEM 658.542969 1669316683.5591
MEM 658.542969 1669316683.6619
MEM 658.542969 1669316683.7659
MEM 658.542969 1669316683.8708
MEM 658.542969 1669316683.9716
MEM 658.542969 1669316684.0760
MEM 658.542969 1669316684.1810
MEM 658.542969 1669316684.2865
MEM 658.542969 1669316684.3932
MEM 658.542969 1669316684.4985
MEM 658.542969 1669316684.6040
MEM 658.542969 1669316684.7084
MEM 658.542969 1669316684.8144
MEM 658.542969 1669316684.9177
MEM 658.542969 1669316685.0191
MEM 658.542969 1669316685.1246
MEM 658.542969 1669316685.2300
MEM 658.542969 1669316685.3347
MEM 658.542969 1669316685.4401
MEM 658.542969 1669316685.5455
MEM 658.542969 1669316685.6508
MEM 658.542969 1669316685.7513
MEM 658.542969 1669316685.8554
MEM 658.542969 1669316685.9611
MEM 658.542969 1669316686.0666
MEM 658.542969 1669316686.1720
MEM 658.542969 1669316686.2776
MEM 658.542969 1669316686.3830
MEM 658.542969 1669316686.4886
MEM 658.542969 1669316686.5940
MEM 658.542969 1669316686.6945
MEM 658.542969 1669316686.7982
MEM 658.542969 1669316686.9012
MEM 658.542969 1669316687.0062
MEM 658.542969 1669316687.1110
MEM 658.542969 1669316687.2140
MEM 658.542969 1669316687.3170
MEM 658.542969 1669316687.4198
MEM 658.542969 1669316687.5226
MEM 658.542969 1669316687.6287
MEM 660.183594 1669316687.7303
MEM 663.187500 1669316687.8355
MEM 663.730469 1669316687.9407
MEM 663.730469 1669316688.0459
MEM 663.738281 1669316688.1484
MEM 663.738281 1669316688.2535
MEM 663.738281 1669316688.3593
MEM 663.738281 1669316688.4630
MEM 663.738281 1669316688.5673
MEM 663.738281 1669316688.6727
MEM 663.738281 1669316688.7788
MEM 663.738281 1669316688.8838
MEM 663.738281 1669316688.9890
MEM 663.738281 1669316689.0946
MEM 663.738281 1669316689.1953
MEM 663.738281 1669316689.3008
MEM 663.738281 1669316689.4063
MEM 663.738281 1669316689.5118
MEM 663.738281 1669316689.6161
MEM 663.738281 1669316689.7204
MEM 663.738281 1669316689.8258
MEM 663.738281 1669316689.9286
MEM 663.738281 1669316690.0334
MEM 663.738281 1669316690.1388
MEM 663.738281 1669316690.2412
MEM 663.738281 1669316690.3471
MEM 663.738281 1669316690.4506
MEM 663.738281 1669316690.5534
MEM 663.738281 1669316690.6550
MEM 663.738281 1669316690.7604
MEM 663.738281 1669316690.8659
MEM 663.738281 1669316690.9695
MEM 663.738281 1669316691.0716
MEM 663.738281 1669316691.1766
MEM 663.738281 1669316691.2775
MEM 663.738281 1669316691.3798
MEM 663.738281 1669316691.4840
MEM 663.738281 1669316691.5867
MEM 663.738281 1669316691.6922
MEM 663.738281 1669316691.7968
MEM 663.738281 1669316691.9021
MEM 663.738281 1669316692.0032
MEM 663.738281 1669316692.1059
MEM 663.738281 1669316692.2089
MEM 663.757812 1669316692.3134
MEM 658.722656 1669316692.4174
MEM 642.996094 1669316692.5227
MEM 642.636719 1669316692.6282
MEM 642.636719 1669316692.7296
MEM 642.636719 1669316692.8354
MEM 642.636719 1669316692.9386
MEM 642.636719 1669316693.0443
MEM 642.636719 1669316693.1500
MEM 642.636719 1669316693.2557
MEM 642.636719 1669316693.3589
MEM 642.636719 1669316693.4644
MEM 642.636719 1669316693.5657
MEM 642.636719 1669316693.6692
MEM 642.636719 1669316693.7747
MEM 642.636719 1669316693.8779
MEM 642.636719 1669316693.9835
MEM 642.636719 1669316694.0848
MEM 642.636719 1669316694.1901
MEM 642.636719 1669316694.2956
MEM 642.636719 1669316694.4009
MEM 642.636719 1669316694.5034
MEM 642.636719 1669316694.6100
MEM 642.636719 1669316694.7136
MEM 642.636719 1669316694.8164
MEM 642.636719 1669316694.9194
MEM 642.636719 1669316695.0210
MEM 642.636719 1669316695.1262
MEM 642.636719 1669316695.2321
MEM 642.636719 1669316695.3343
MEM 642.636719 1669316695.4414
MEM 642.636719 1669316695.5439
MEM 642.636719 1669316695.6456
MEM 642.636719 1669316695.7488
MEM 642.636719 1669316695.8567
MEM 642.636719 1669316695.9623
MEM 642.636719 1669316696.0678
MEM 642.636719 1669316696.1695
MEM 642.636719 1669316696.2715
MEM 642.636719 1669316696.3773
MEM 642.636719 1669316696.4825
MEM 642.636719 1669316696.5861
MEM 642.636719 1669316696.6904
MEM 642.636719 1669316696.7931
MEM 642.636719 1669316696.8993
MEM 642.636719 1669316697.0059
MEM 642.636719 1669316697.1132
MEM 642.636719 1669316697.2174
MEM 642.636719 1669316697.3221
MEM 642.636719 1669316697.4272
MEM 642.636719 1669316697.5300
MEM 642.636719 1669316697.6339
MEM 642.636719 1669316697.7387
MEM 642.636719 1669316697.8413
MEM 642.671875 1669316697.9464
MEM 643.496094 1669316698.0498
MEM 643.511719 1669316698.1550
MEM 643.585938 1669316698.2602
MEM 606.281250 1669316698.3605
MEM 606.281250 1669316698.4660
MEM 606.281250 1669316698.5738
MEM 606.281250 1669316698.6767
MEM 606.281250 1669316698.7794
MEM 606.281250 1669316698.8823
MEM 606.281250 1669316698.9837
MEM 606.281250 1669316699.0908
MEM 606.281250 1669316699.1933
MEM 606.281250 1669316699.2991
MEM 606.281250 1669316699.4014
MEM 606.281250 1669316699.5064
MEM 606.281250 1669316699.6103
MEM 606.281250 1669316699.7156
MEM 606.281250 1669316699.8165
MEM 606.281250 1669316699.9208
MEM 606.281250 1669316700.0257
MEM 606.281250 1669316700.1308
MEM 606.281250 1669316700.2326
MEM 606.281250 1669316700.3366
MEM 606.281250 1669316700.4372
MEM 606.281250 1669316700.5378
MEM 606.281250 1669316700.6424
MEM 606.281250 1669316700.7468
MEM 606.281250 1669316700.8525
MEM 606.281250 1669316700.9540
MEM 606.281250 1669316701.0599
MEM 606.281250 1669316701.1632
MEM 606.281250 1669316701.2647
MEM 606.281250 1669316701.3697
MEM 606.281250 1669316701.4733
MEM 606.281250 1669316701.5770
MEM 606.281250 1669316701.6802
MEM 606.281250 1669316701.7817
MEM 606.281250 1669316701.8845
MEM 606.281250 1669316701.9868
MEM 551.960938 1669316702.0873
MEM 551.941406 1669316702.1925
MEM 551.945312 1669316702.2977
MEM 552.011719 1669316702.4026
MEM 551.953125 1669316702.5051
MEM 551.953125 1669316702.6090
MEM 551.953125 1669316702.7155
